iter	Passed	Remaining
407	4904	7117
408	4915	7103
409	4926	7089
410	4936	7074
411	4949	7063
412	4962	7053
413	4978	7047
414	4990	7035
415	5002	7023
416	5014	7010
417	5025	6996
418	5036	6983
419	5048	6971
420	5059	6958
421	5072	6947
422	5083	6933
423	5095	6921
424	5107	6909
425	5119	6898
426	5130	6885
427	5142	6872
428	5153	6859
429	5164	6846
430	5176	6833
431	5187	6820
432	5198	6807
433	5210	6794
434	5221	6781
435	5231	6767
436	5243	6754
437	5253	6741
438	5263	6726
439	5276	6715
440	5287	6702
441	5299	6690
442	5312	6679
443	5324	6667
444	5334	6653
445	5345	6639
446	5355	6625
447	5363	6608
448	5373	6594
449	5383	6580
450	5393	6565
451	5404	6551
452	5414	6537
453	5425	6525
454	5438	6513
455	5450	6502
456	5460	6487
457	5472	6476
458	5486	6466
459	5498	6454
460	5507	6439
461	5517	6425
462	5530	6413
463	5540	6400
464	5553	6389
465	5566	6378
466	5575	6364
467	5588	6353
468	5600	6341
469	5612	6329
470	5623	6315
471	5636	6304
472	5648	6293
473	5658	6279
474	5671	6268
475	5683	6256
476	5693	6242
477	5705	6230
478	5717	6219
479	5734	6212
480	5745	6199
481	5755	6185
482	5767	6173
483	5779	6161
484	5790	6148
485	5802	6136
486	5814	6124
487	5825	6112
488	5835	6097
489	5846	6084
490	5856	6070
491	5867	6058
492	5879	6046
493	5890	6033
494	5901	6020
495	5916	6011
496	5929	6000
497	5945	5992
498	5957	5980
499	5967	5967
500	5980	5956
501	5993	5945
502	6002	5931
503	6015	5920
504	6030	5910
505	6043	5900
506	6055	5887
507	6065	5874
508	6078	5863
509	6092	5853
510	6101	5838
511	6118	5831
512	6131	5820
513	6148	5813
514	6164	5805
515	6179	5796
516	6194	5787
517	6209	5777
518	6221	5766
519	6230	5751
520	6243	5739
521	6255	5728
522	6264	5713
523	6274	5699
524	6286	5687
525	6296	5674
526	6307	5661
527	6318	5648
528	6328	5634
529	6338	5620
530	6349	5607
531	6359	5594
532	6370	5581
533	6382	5569
534	6392	5556
535	6404	5544
536	6416	5532
537	6430	5522
538	6449	5516
539	6460	5503
540	6474	5493
541	6487	5482
542	6501	5471
543	6514	5460
544	6525	5447
545	6537	5436
546	6553	5427
547	6568	5417
548	6581	5406
549	6591	5393
550	6604	5381
551	6617	5370
552	6631	5360
553	6683	5380
554	6704	5375
555	6732	5376
556	6751	5369
557	6780	5371
558	6804	5368
559	6816	5355
560	6827	5342
561	6838	5329
562	6850	5317
563	6861	5303
564	6871	5290
565	6884	5278
566	6896	5266
567	6907	5253
568	6920	5242
569	6933	5230
570	6945	5218
571	6957	5205
572	6968	5192
573	6980	5180
574	6990	5166
575	7001	5153
576	7012	5140
577	7024	5128
578	7035	5115
579	7048	5104
580	7060	5091
581	7069	5077
582	7081	5065
583	7093	5052
584	7105	5040
585	7116	5027
586	7127	5014
587	7138	5001
588	7149	4988
589	7160	4976
590	7171	4963
591	7182	4950
592	7193	4937
593	7205	4925
594	7216	4912
595	7227	4899
596	7236	4884
597	7246	4871
598	7256	4857
599	7265	4843
600	7275	4829
601	7283	4815
602	7293	4801
603	7302	4787
604	7309	4772
605	7318	4758
606	7325	4743
607	7332	4727
608	7340	4713
609	7348	4698
610	7358	4685
611	7367	4670
612	7376	4657
613	7386	4643
614	7395	4629
615	7407	4617
616	7420	4606
617	7429	4592
618	7441	4580
619	7451	4567
620	7461	4553
621	7471	4540
622	7478	4525
623	7491	4514
624	7502	4501
625	7511	4487
626	7521	4474
627	7532	4462
628	7541	4448
629	7551	4435
630	7559	4420
631	7570	4408
632	7579	4394
633	7589	4381
634	7599	4368
635	7608	4354
636	7619	4341
637	7626	4327
638	7637	4314
639	7646	4301
640	7655	4287
641	7664	4274
642	7673	4260
643	7682	4246
644	7690	4233
645	7702	4220
646	7708	4205
647	7720	4193
648	7730	4181
649	7739	4167
650	7751	4155
651	7759	4141
652	7769	4128
653	7780	4116
654	7789	4102
655	7801	4090
656	7810	4077
657	7818	4063
658	7826	4050
659	7834	4036
660	7843	4022
661	7851	4008
662	7859	3995
663	7867	3981
664	7878	3968
665	7887	3955
666	7899	3943
667	7909	3931
668	7918	3917
669	7929	3905
670	7937	3891
671	7948	3879
672	7959	3867
673	7968	3854
674	7981	3843
675	7992	3830
676	8000	3816
677	8009	3804
678	8018	3790
679	8029	3778
680	8037	3764
681	8047	3752
682	8056	3739
683	8065	3726
684	8076	3714
685	8083	3700
686	8094	3687
687	8101	3673
688	8112	3661
689	8122	3649
690	8130	3635
691	8140	3623
692	8148	3609
693	8159	3597
694	8166	3583
695	8177	3571
696	8187	3559
697	8195	3545
698	8205	3533
699	8213	3520
700	8223	3507
701	8230	3494
702	8242	3482
703	8252	3469
704	8262	3457
705	8272	3445
706	8280	3431
707	8291	3419
708	8302	3407
709	8311	3394
710	8322	3382
711	8330	3369
712	8341	3357
713	8350	3344
714	8357	3331
715	8365	3318
716	8372	3304
717	8379	3291
718	8388	3278
719	8395	3264
720	8405	3252
721	8413	3239
